Text,Emotion
Great :) thanks!,Happy
"@Chris, excellent, I'm thrilled to hear that you're migrating to salted hashes! :)",Happy
"I answered the same question . Best of luck! As you will see, I like the tools.",Happy
"So, it is as simple as purchasing a domain name, and then adding that identifying information to the hosts file? If so, that is excellent!!",Happy
Not to worry I've SOLVED it!,Happy
did you run out of variable names? ;-),Happy
I might explain but documentation on MSDN is already pretty excellent. Consider visiting Following Links. Here is the link to in with Example -- and -- synchronization in -- MFC -- Hope these help,Happy
Awesome! You have no idea how long I've been trying to find this!,Happy
"Just use RotateFlip: As @Dan-o has pointed out, this allows a rotation of any of the degree's in the enum. To rotate a Bitmap any angle without losing the size, you could do the following, but it's a bit convoluted! One - Add the library to your project Two - Add the XAML, WindowsBase and PresentationCore libraries to your project Three - Use the following to rotate your Bitmap any amount of degrees: Pain in the ass, but works!",Happy
"Yes, it's possible, juste remove the second parameter of your method (it's totally useless) ans it will work (I tested the code) !",Happy
"Text to html and WYSIWYmG are really different things. A real time preview is cool feature... i've seen a great example somewhere :) hmm :))) here, at stackoverflow!",Happy
please update and you will get to paradise =),Happy
"I have the following code for searching multiple keywords within a document title which works fine. I want now to have a column that shows the number of keywords that are found in each title row and order in a descendent way. For example if I'm searching for ""Maternity leave"" I should get something like this: Name -- Keywords found Maternity Leave policy -- 2 Annual leave policy -- 1 Maternity advice for mothers-to-be -- 1 Hope it makes sense, Many thanks!",Happy
"that is what I am doing now. I find this a more practical solution and I see there are other people doing the same. Well, great!",Happy
"This would be easiest with a - no need to be scared, it's just a box!",Happy
Got some help from . Here is my Java class: I used for the base64 encoding. Here's my C# class: I really hope this helps someone else!,Happy
"Great, excellent. You're welcome!",Happy
Excellent! Will try it soon. But it should work i guess.,Happy
"I have a table with a field that needs to store 512 characters. My question is this: can you limit the length of a TEXT field (VARCHAR stops at 255 - I can't use it) to 512 characters? If I do that, will MySQL run through the table quicker due to the fixed data length, or does it act a bit like VARCHAR in that the length can vary? I don't have a table (at all) yet, but I'm very conscious about speed and size for the future. I found this article: incredibly useful - maybe you will to! Thanks a lot, James",Happy
"Sounds like you are looking for a JSMin tool or similar. There are many tools which you can purchase, but there are also some online tools you can use: Good Luck!",Happy
Very excited for my first post on SO! I would like to create an animation like in xcode I am not having much luck with what CABasicAnimation has to offer. Feels like I may need one of those fancy physics engines...(?) How would one properly begin do this? Thanks!,Happy
We eventually dropped using Filestream. I believe we never could get it to work right with Nhibernate. Good luck!,Happy
"I have an array of words that gets shuffled into paragraphs using jQuery. I'm trying to add some commas "","" in between them. Ideally i need a single comma added to every 4th word but this is beyond my modest jQuery skills. This is my code: Really hope you can help!",Happy
"WPF is a fascinating platform to develop our next generation applications on! The ability to style just about anything, the databinding support and attached/dependency properties. Wow! But let's not throw caution to the wind because while WPF performance is great, it's not the best... yet. Definitely is a strong contender, but as developers we are still left with design principles for our front ends.",Happy
"Hey I figured it out! I wasn't using Virtual, New, nor Override keywords effectively and I learned how to directly access the Font property of the progressbar control. I bet you guys figured all this out and was letting me think it through. Totally awesome! How did you guys get to be so smart? Well anyway, thanks for letting me learn from the best teacher of all. God bless! Craig. (Now, how do I close this question again?)...",Happy
"If you only need the count (like you express in your original question), you could do: Hope it helps!",Happy
"Thanks to the two of you that answered. What I ended up doing (in case anyone else is interested!) was processing the openid login like normal, but NOT saving the new user to the database. Instead, I stored their information in a session var and asked them for the remaining information before adding them to the db and logging them in. Hope this helps!",Happy
This is really weird. But a great question you posted! Nice to read. Here could be a solution: http://stackoverflow.com/a/3277996/1320237Why would it be impossible to import the Calltips module from the standart library? Maybe you have a Python 3 idle open? Then they interfere?,Happy
"Try <% if(ViewContext.ViewName == ""Index""){%> Should work fine !!! EDIT : REMOVED IN BETA1 Removed the ViewName property from the ViewContext class.",Happy
