Text,Emotion
"This looks really useful, thanks!",Happy
I'd really love this to work in IE. I'm not able to change the fact that tables should not be used here. IE is the only browser the project I'm working on is required to support. Here's the code: I've been using the Tryit Editor to play with this. Thanks in advance for your help!,Happy
loved your line NSIndexPath *indexPath = [NSIndexPath indexPathForRow:0 inSection:1];. +1 for you ;),Happy
I absolutely love ! I tried the REST support in WCF and was quickly turned off from it. Good luck!,Happy
"i really love the idea of it as i can create a folder for my user control, and make sub folder images, css, and put local resource file, so the whole thing is contained in one folder, and that makes it really efficient for me (management wise). but the bugger is you cant get intellisence like global resource, so is it possible in any way ?",Happy
"Have a look at . (Except for it being the foundation of their incredibly great IncrediBuild product, I haven't used it, though.)",Happy
"i have a botton which is for changing the background image with jquery, as the following code shows it works very fine! but i want to fade in the newbg-image... is it possible to add a jquery fade method to it. Any help would be very appreciated. Thanks Ted",Happy
"Excellent answer, +1!",Happy
"+1, excellent link, thanks (but then anything by Celko is bound to be!-)",Happy
Very nice plugin!! I really admire people that put more time into making Vim more usable. I've added your plugin to my list here: http://staff.washington.edu/ivanoats/blog/2012/01/13/making-macvim-pretty/,Happy
Excellent summary of subject on StackExchange security blog: http://security.blogoverflow.com/2011/11/why-passwords-should-be-hashed/,Happy
Omar Al Zabir has an excellent post on using cache item callbacks for this purpose.,Happy
"You didn't mention the language, but for Java we've loved . For C/C++, getopt.",Happy
Dr. Klaus Schulten gave an excellent talk at GTC2010: http://livesmooth.istreamplanet.com/nvidia100922/. GPGPU computing is definitely the way to go for bioinformatics!,Happy
"I used for a medium sized project, and loved it. It's incredibly feature-rich, has pretty good documentation, and an amazingly good support forum -- it's one of those ones where you ask a question, and a guy who works for the company that produces the software almost invariably answers it within a few hours. I used it with PHP and MySQL, but as far as I know it works with ASP.NET as well.",Happy
"I've handled the 404 by doing this in the global.asax file Now, if anyone can help me with the google widget that would be great!",Happy
"The following scripting is a custom addition to this Hover Fade Button; in my version it keeps the text of the button while changing the background images through css classes only. I have able to everything except when you click on another button you get two active buttons and so on. I like the buttons to hover {span.hover class}, click {span.active class}, and remove any other buttons with the span.active class and put back to regular state. Greatly appreciate a solution!",Happy
"If it has a lot of cup holders, that'd be awesome, too!",Happy
"Great question, but please update the accepted answer to IainMH's! :)",Happy
"I made a template in my wiki called Template:quote, which contains the following content: Then I can use the template in a page, e.g., {{quote|a little test}} Works pretty well - Thanks!",Happy
+1 Very interesting question!,Happy
@MattBurland no worries!,Happy
I love Raymond Chen's blog! I would have considered putting this in the suggestion box if it wasn't closed.,Happy
Google led me to solution (base64_encode). Hope this helps!,Happy
"Don't forget about ! JSON seems to have better support though. For example, the library has excellent built-in JSON functions.",Happy
I would recommend -- it's an excellent CMS with great built-in translation.,Happy
"In my MySQL table, there is a row labeled ""state"". There are 3 values possible for this. How could I utilise PHP to echo ""Unbanned"" as apposed to ""0"" in state? And ""Banned"" as apposed to ""1"" and ""Temp-Banned"" as apposed to ""3""? How would I use php to display ""UnBanned"" instead of 0 in the MySQL? I am using a table for this. All help is incredibly appreciated :)",Happy
+1 Excellent explanation!,Happy
"Try . It's free, it has very good , excellent where you can see all the features in action. It has all functions you want and many more.",Happy
#ERROR!,Happy
"Next time You could try doing some research yourself? However a quick search of google comes up with a few nice looking tutorials. (Assuming by XAML and C# you mean WPF?) Also try looking at Visifire charts trial, it's quite excellent!",Happy
This is great! Thanks +1,Happy
"This is incredibly useful, thank you!",Happy
"We use asp.net where I work and we are using c# as the language. Will c# 3.0 work with asp.net 2.0? Ive been trying to pick up some books on c#, but not sure which I should be buying, any help would be greatly appreciated!",Happy
Absolutely. Don't be afraid to just try stuff out!,Happy
"Is there a way to use records directly in erl? No matter what I try, it always says it canno find the record. I am trying to do mnesia transactions and I cannot go too far without my records. Any help is greatly appreciated - thank you!",Happy
Download the DirectX/XNA SDK - it comes with plenty of sample code. Great place to start!,Happy
I am pretty sure this can help! Cheers!,Happy
"This is really great, worked a treat thanks",Happy
"Loved all 3 responses! I picked Gordon's because it allowed me to do an outer join and ignore rows that had an additional filtering parameter (I didn't ask for this but I was able to implement that later). JBrooks solution was great because it had a smaller footprint and allowed me to leverage functions, and shree's one was a little too verbose for my bigger project but still did exactly what I needed. Thank you all!",Happy
"My client sells jewellery in different materials such as gold, silver, oxidised, etc. When using the Layered Nav widget I would like to display the thumbnails corresponding to the selected filter. So if the users selects the 'gold' attribute in the widget, the gold thumbnails should display in the archive. Using ACF I added image fields to the main product for thumbnails and modified the action in my functions.php. I am trying to write a function that will retrieve the right thumbnail for the currently viewed filter but I cant find a way to check the active attribute for the page. I think it may be possible to use a query_var variable, but my knowledge is too limited. Any help will be hugely appreciated!",Happy
Excellent Thanks!,Happy
Excellent! Appears to be a far cleaner solution. http://bl.ocks.org/mbostock/4560481,Happy
"Thank you Gumbo, I suppose this'll have to do. I would've liked a more concise solution but thank you anyway, I never knew this js-uri class existed!",Happy
"excellent bonus tip re lcd! I didn't know that existed, but will be very useful.",Happy
"John, Your solution is absolutely awesome! But, just to share, I have been using this method above until I see your ideia. So, it seems not to be the best solution for this, but for sure it is a way around.",Happy
"Great answer! If I may update it to Rails 3, the json method now seems to be to_json. At least that's what worked for me... i.e. @contact.to_json",Happy
wowww thanksss!,Happy
"is free, scriptable, supports passive mode and is definitely EXCELLENT.",Happy
"+1. Brian, you saved me from hours and hours of research, great insight!",Happy
"As mentioned above, some of the fundamental Object Oriented Design principles are OCP, LSP, DIP and ISP. An excellent overview of these by Robert C. Martin (of Object Mentor) is available here:",Happy
