Text,Emotion
Incredible innovation on the part of the @britishmuseum by using #3DPrinting to uncover the past. #history #tech https://t.co/wq3U7YLdd4,Happy
"@Apollo_magazine @JacksonsArtTalk @FitzMuseum_UK I see dry brush everywhere. Very dramatic, also reminded me the medieval cosmographers.",Happy
The @NationalGallery show 'Inventing Impressionism' has left London for US but fascinating to read about even after: http://t.co/ZUC2bleqz4,Happy
@NationalGallery :) http://t.co/VzSJhocyqJ,Happy
Last RTs - some excellent #AskTheGallery questions. I look forward to the answers tomorrow @NationalGallery @pcs_union,Happy
@britishmuseum Cod piece made of armor?,Surprise
View not bad from @NationalGallery café either! http://t.co/tk6oLR5758,Happy
@NationalGallery @ivanalepojev Amazing,Happy
@jadeflahertyxo @tateliverpool obviously! I'll come home next month for it. Yay,Happy
"@NationalGallery @pcs_union strikers raise £1,000 on @pplsassembly  protest http://t.co/SzmJN1zMF7 #reinstateCandy http://t.co/7vCMoHbV8W",Anger
Delighted that our work has been selected for the Evolver Prize 2015 @SimonEvolver and looking forward to the show @ThelmaHulbert,Happy
"@artinsociety Thanks, good article @NationalGallery @NeilKC41 #BertheMorisot's dau #JulieManet's diary re her family http://t.co/tlj0vPPM35",Happy
So... @TimesSquareNYC and @britishmuseum are responsible for trending #SummerSolstice in America. Hell yeah: http://t.co/cEqC4SLbVS,Happy
@barjanas @britishmuseum Portraiture is so fascinating...love all these hidden meanings! Thanks for the info!,Happy
Fantastic afternoon exploring the @britishmuseum http://t.co/LAZvL5bRgu,Happy
Today @LouieJamesKeen and I are off to look at some mummies at @britishmuseum #happysuday,Happy
"@britishmuseum @D2Zen love the Rubens drawings, seeing his hand at work. Btw high temp 64 here today! #craycray @CarisaMarie11",Happy
@RAMMuseum our secret is a brisk walk in our gardens and lots of tea #birthday,Happy
A very intresting insight into ancient Egypt @britishmuseum exhibition Ancient Lives #8mummies,Happy
@kettlesyard Ah - will do :),Happy
@britishmuseum @69quietgirl @Charles_XII - and will again... #austerity,Sad
"@britishmuseum Stunning collection. There was a vase entitled ""Socrates the Voyeur"". I would like to now more about it - plus a  photo.",Happy
Hidden watercolour treasures go on display at @FitzMuseum_UK - http://t.co/Yz5DTi4jGU http://t.co/4jG25VK2bi,Happy
St Ives Cornwall News is out! http://t.co/cCO8Jai0GJ Stories via @Tate_StIves,Happy
Love history? Visit @britishmuseum today! Love history &amp; #RealAle ? Visit @tottenhamsoho open since 1826! http://t.co/tzYc3FIaBX,Happy
eek! Need to put this date in the diary - &amp; get down to the @NationalGallery . #love soundscapes. #art #music #life  https://t.co/KMrnECrzqp,Happy
@britishmuseum One of my favourites -- Napoleon as a comet with a hat http://t.co/f6ONriy3aH http://t.co/4toFmvtXID,Happy
#LoveWins (from the @britishmuseum) http://t.co/WPw3pvXD9h,Happy
Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00,Happy
"Had a great @IndianaJones tour of the @britishmuseum with @eustonchurch, now at @HTBChurch enjoying The Five service. http://t.co/uZkZgz0h6c",Happy
"@_TheWhitechapel has a new incredible show James Richards and the V-A-C Collection and Francis Bacon, it's amazing!http://t.co/ItDS5FPROq",Happy
Cant wait to go to the #AudreyHepburn Exhibition @NationalGallery #icon Idolised this lady since I was a little girl. http://t.co/pfM5K4olf6,Happy
Today at @RAMMuseum I went into the store to see these amazing Peruvian pots http://t.co/QWumUrlGq6,Happy
Seriously sweet location &amp; building @Tate_StIves http://t.co/HgWu7oi5V1,Happy
I just told @tate @britishmuseum @NPGLondon &amp; @RoyalOperaHouse to #DropBP Sponsorship. Join me: http://t.co/gmbtUDKh6m,Anger
"@NichollsJill I will! World Premiere was in Jan at @_TheWhitechapel , hopefully another screening soon!!",Happy
@NationalGallery This is one of my favourites; have a copy from the NG framed &amp; hanging right next to me.,Happy
@britishmuseum my fav,Happy
Enjoyed a couple of hours in side the British Museum @britishmuseum lonelyplanet #summer #NotSoSunny… https://t.co/BHGoPi3c8T,Happy
@DavidSmithArt @ThelmaHulbert Well done!!,Happy
@davidcharlesbow: @NationalGallery #AskTheGallery Pete and Dud have a few questions. http://t.co/D5Eet1Y56F The Leonardo cartoon is a hoot!,Happy
Gorgeous and geeky afternoon at #definingbeauty @britishmuseum http://t.co/Loxk52YAY5 http://t.co/kAEHHHLNq6,Happy
Re-Defining our beauty - amazing group of creative older people perform tomorrow @britishmuseum part of exhibition http://t.co/ooygTgdDXZ,Happy
Completed my week's dose of Ancient Greece 2night at @britishmuseum #DefiningBeauty expo. Quite a spectacle and not busy. Worth seeing.,Happy
For art enthusiasts this should not be missed. I love every minutes in this… (at @nationalgallery) [pic] — https://t.co/wtlGh06tZR,Happy
#DefiningBeauty @britishmuseum finally visited the exhibition before it closed next week.. Well worth the trip to London. A brilliant time.,Happy
@britishmuseum a death mask??,Surprise
@NationalGallery Great 2 c #Rembrandt's back from loan in Rooms 23 &amp; 24 Missed them so much!,Happy
"No matter how many times I come here, This is still one of my favourite places in London. @britishmuseum #museumgeek http://t.co/DlkdaXxXh4",Happy
I am in love with the @britishmuseum #Waterloo200,Happy
"Fabulous day @britishmuseum with @sarahdawnscott ... Greek beauty, Australia, Napoleonic propaganda &amp; so much more! http://t.co/cMyh2JC6sO",Happy
Our book 'Alfred Wallis Cornish Primitive Painter' has 100 fabulous paintings @Tate_StIves @StIvesSociety http://t.co/N81bg96b7M,Happy
@sewyoursoul Oh Whistle jacket is my daughter's favourite picture in @NationalGallery ...she has her own route around it &amp; he's last.,Happy
Looking forward to attending #DefeatDepression at @RAMMuseum this evening.,Happy
Day dreaming about my date with these fine fellas at the @NationalGallery #AdventureswithTuck… https://t.co/FaxllnLya4,Happy
@FL_FLAMIN @nia_loves_films @_TheWhitechapel fantastic - thank you!,Happy
