Text,Emotion
"""My bad!""",Anger
"""My bad, uploaded the wrong patch.""",Anger
"""It seems really confusing.""",Anger
"""BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow). """,Anger
"""Damn...""",Anger
"""The defect  from hell 666, be scared..""",Anger
"""That irritated the hell out of me too, but I didn't realise it was configurable in the .launch file.""",Anger
"""Holy hell, I think I found one problem with turning a bignum into anything else.""",Anger
"""This name gets confusing with all of our prenamed *Worker* and *Master* classes.""",Anger
"""How on earth is it buggy?""",Anger
"""That's weird.""",Anger
"""It sucks to lose the code readability, but it seems like a reasonable price to pay.""",Anger
"""Who made this stupid rule?""",Anger
"""Doh!""",Anger
"""I think you made mistakes in ivy.xml.""",Anger
"""An output connector should also have a say in what URLs it will accept.""",Anger
"""This was very bad documented.""",Anger
"""Im stuck with IE6 unfortunately.""",Anger
"""My bad.""",Anger
"""I'd say to hell with windows minority :)""",Anger
"""Stupid Maven""",Anger
"""Then, to make matters worse, since the mid-1990's I've been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I'm an amateur.  """,Anger
"""This is weird.""",Anger
"""@jira - I wish you didn't suck so much.""",Anger
"""This way lies metadata hell.""",Anger
"""Hudson is stuck.""",Anger
"""I'm an idiot... there's nothing wrong with the readme.txt.""",Anger
"""Damn time has flown...""",Anger
"""Sounds weird to me... Could you package a (totally!)""",Anger
"""I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!""",Anger
"""Kind of sucks.""",Anger
"""Bad. """,Anger
"""Ah, too bad.""",Anger
"""Indeed that would be VERY bad design.""",Anger
"""{quote} searcher.getAtomicReader().getSortedDocValues(uniqueKey); {quote}  This is a performance killer.""",Anger
"""oh ...geez I'm an idiot.""",Anger
"""I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?""",Anger
"""This is not what I build a framework for.""",Anger
"""Where on earth are you anyway?""",Anger
"""My bad.""",Anger
"""Weird.""",Anger
"""Damn it !""",Anger
"""*Damn*, I forgot.""",Anger
"""Well, either you query the database every damn time, and your plugin/tool/code will be super slow.""",Anger
"""Yep, my bad.""",Anger
"""Oops, had a bad comparator in the TestCLI config.""",Anger
"""My bad.""",Anger
"""Maybe only one of us should play lawyer and the other one play engineer.""",Anger
"""the recommendation in the wiki is bad.""",Anger
"""My bad.""",Anger
"""It must be lost somewhere.""",Anger
"""What the hell, I'll give this a shot.""",Anger
"""I'm against such heavy committing myself, without some consensus to do so.""",Anger
"""I'm starting to think of ""DLL Hell.""""",Anger
"""Will still be stuck in the loop though if can't actually close regions.""",Anger
"""If they do then Suse's cpio works for old ascii but the -c switch is broken.""",Anger
"""What the hell?!""",Anger
"""I just noticed your public tweet...  bq. ""@wilhelmbierbaum True. Fuck the Avro C API."" """,Anger
"""Imo all this just doesn't make sense from a pure performance aspect.""",Anger
"""Oh, my stupid:)""",Anger
"""Hell or high water.""",Anger
""" I think the comments here are a bad sign... I sent us down an unfortunate slippery slope  we are a search engine library!  don't put shit in the index directory! or we will delete your shit. dead simple.""",Anger
"""That would suck.""",Anger
""" if you want to make these optimizations, fix the APIs so its intuitive, otherwise, no way.""",Anger
"""I didn't know we needed to retain backwards config capability across 3.x to 4.x  :-(  That sucks and it'll make old code stick around longer.""",Anger
"""My bad...""",Anger
"""tricky shit man! I think I found the issue!""",Anger
"""Oopps, bad move !""",Anger
"""I've looked at what can be done within the NSIS framework we use to build the Windows installer.""",Anger
"""Damn...""",Anger
"""(Do nothing): Are you serious about that?""",Anger
"""Weird.""",Anger
"""Wow, it's like Thrift is going out of their way to make life suck for us this month.""",Anger
"""Bad memory.""",Anger
"""Swear to god, I'm not a total idiot.""",Anger
"""My bad.""",Anger
"""And boy, hell broke loose ;)  So... the biggest issue I'm facing is indeed with Random sharing across threads.""",Anger
"""I abbreviated the heck out of my arguments and thinking, but damn it thats what I think :)""",Anger
"""Django is a fullstack framework, Click is not.""",Anger
"""As far as the query shit, i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread().setName(x) or whatever (and maybe restore after)""",Anger
"""Inserting timestamps automagically would be bad because it would limit a whole swath of use cases.""",Anger
"""> We can't let fear of back-compat prevent us from making progress.""",Anger
"""This is clearly bad webserver behaviour.""",Anger
"""This whole thing is very distressing to me.""",Anger
"""This was a very bad bug, introduced by me being an idiot.""",Anger
"""Damn !""",Anger
"""Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS...   Did you just tell me to go fuck myself?""",Anger
"""It also happens at the very startup after he has loaded only 3 sstables (hence DataTracker likely have 3 sstables, not a shit load).""",Anger
"""The state stuck at ""Allocated state"", It is a dup of 3788.""",Anger
"""It may suck, but at least *I* won't be the one bringing in a dumb dependency to a logging library.""",Anger
""" I used to be the latter, but then I went to law school and got a degree in this shit. """,Anger
"""My bad.""",Anger
"""I doubt that Squid is so bad at it.""",Anger
"""Pretty much everything that FSNamesystem (ie.""",Anger
"""#NAME?""",Anger
"""Credit, of course, goes to Dick.""",Anger
"""The evil NPE strik back !!""",Anger
"""Hell, this is gonna take me a lot of work to raise.""",Anger
"""Also, your username was stupidly named and confusing, so I deleted it and created a new one more appropriate.""",Anger
"""@Oleg, please accept that my ""logical"" is different from your ""logical"".""",Anger
"""This really sucks!""",Anger
"""I'll just put fix in under this issue.""",Anger
"""What a stupid name I chose for that object... )-:""",Anger
"""+1 (damn intellij, it's not like patch format hasn't been standard for years)""",Anger
"""Oh fuck :-) Sorry. Not my day, more beer needed!""",Anger
"""Here is quite bad.""",Anger
"""Holy complicated-as-shit-algorithm, Batman!  The complexity of our implementation vs the complexity of what we're actually doing is starting to worry me here.""",Anger
"""ah - my bad.""",Anger
"""A stupid bug in a patch that is already applied.""",Anger
"""Tabs are evil.""",Anger
"""This is always a really bad way to design software.""",Anger
"""Hell, UnaryFunction might even be faster than all of these calls in a row. """,Anger
"""But please don't say that my reasoning is bad - because it is not.""",Anger
"""Heh, that's one hell of a bug, 275 bytes exactly, eh?""",Anger
"""But, even if it wasn't it would be totally worthless where it is at.""",Anger
"""Damn dyslexia!""",Anger
"""This sucks *so much*...""",Anger
"""I have stupidly deleted the original test dir, but judging from the suite's output files, no output was created after 3 1/2 hours.""",Anger
"""Well, that sucks.""",Anger
"""Doing it at the hackathon you'd have a few fellas at your shoulder to give you pointers should you get stuck.""",Anger
"""Juhani..my bad, i was mistaken.""",Anger
"""-1 to jar hell.""",Anger
"""And debugging is hell, because the test environment needs to have the exact same loader setup.""",Anger
"""Pull it back in if you think different.""",Anger
"""This is bad.""",Anger
"""The eclipse ui was completly stuck, which was similiar to the other experinces.""",Anger
"""I really don't care.""",Anger
"""Both equally bad.""",Anger
"""{quote}You are messing down deep below hbase in dfs.""",Anger
"""It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.""",Anger
"""bq. this is solr's fault by having a getter that does some heavy duty xml shit.""",Anger
"""It may cause conflicts, but if your intent is to break system security, you probably don't care.""",Anger
"""Actually I don't want to specify the encoding, because I don't care how the data is transported to me.""",Anger
"""If the different segments are somewhat homogeneous then these stats should pretty much be very close anyway.""",Anger
"""<gmcdonald> , my bad """,Anger
"""Damn, Chuck is scary.""",Anger
"""that's bad Content-Type from gSOAP.""",Anger
"""Forget what I made(D8067).""",Anger
"""Why the hell is this not a bug?""",Anger
"""I'm an idiot.""",Anger
"""The rest are *totally* unrelated.""",Anger
"""But I will quit committing to Hama then, because I'm not going to support ONLY a binary format.""",Anger
"""All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen.""",Anger
"""Well, that sucks.""",Anger
"""This sucks.""",Anger
"""So, I'm fine with your logic, but given that I don't understand it please don't get upset when I ask questions on how I have to use it.""",Anger
"""That is bad.""",Anger
"""Seeking back is pretty inefficient in DFS.""",Anger
"""Splitting an existing sub-shard gets stuck up.""",Anger
"""if so, can you see if you can git bisect this bad boy?""",Anger
"""why on earth would it match anything, you have not even touched the Apache install.""",Anger
"""I don't have to ensure that the classloader knows groovy classes, *you* must do that.""",Anger
"""Why on earth does createLink() need a request?""",Anger
"""Of course, StrFieldSource is a private class  No it's not.""",Anger
"""Shit, my bad. The posted patch is from a completely wrong branch of my git repo - I had not realized I ran the test-patch against a branch not branch-1.""",Anger
