Text,Emotion
"""That sounds like a plan. I love peer-reviews... :-)""",Happy
"""Thanks Sandy.""",Happy
"""Thanks, Mike!""",Happy
"""Thanks  Rishi Solanki  to review the patch.""",Happy
"""Thanks, Ravi!""",Happy
"""Thanks Karl.""",Happy
"""Thanks senaka for the patch.""",Happy
"""@Ashutosh: thanks a lot for the comments.""",Happy
"""Thanks Awdesh - Done at r821748.""",Happy
"""Super, I'll commit shortly -- thanks Yonik!""",Happy
"""Thanks a lot for sharing that, Josh!""",Happy
"""Committed a slightly cleaned up version of the patch in revision: 1464605  Thanks for your help Todd.""",Happy
"""Sweet, I will review and apply.""",Happy
"""Thanks, Myrna.""",Happy
"""Thanks Atul,  Your patch is in trunk at r933169  I just added some ""mod for OFBiz layered lookups"" comments around changes as suggested Sascha""",Happy
"""Thanks Oliver.""",Happy
"""Thanks Tom!""",Happy
"""Thanks Divesh,  Your patch is commited at revision: 762863   """,Happy
"""Thanks Areek, new patch looks great; I'll commit shortly.""",Happy
"""Thanks Karthik.""",Happy
"""Sweet! Git, I love git! :)""",Happy
"""Thats sweet that you have the prior experience hacking this on top of a store already.""",Happy
"""Hello Leo  The patch has been applied at revision r479576, thanks a lot for this enhancement, please verify that the problem is fully fixed as you expected.""",Happy
"""Thanks a lot!  """,Happy
"""Thanks Adrien for looking into this, nice explanation!""",Happy
"""Thanks for you work on this Jayachandra.""",Happy
"""thanks for the explanation.""",Happy
"""Thanks Suresh""",Happy
"""Hi Sandy, Thanks so much to give me such comments, that's really helpful, I will update this later.""",Happy
"""Thanks for being patient Devaraj!""",Happy
"""Thanks for review and test case, Knut.""",Happy
"""Thanks for figuring this one out and providing the patch, Jamie!""",Happy
"""Thank you Thejas for the patch and Ivan for the review.""",Happy
"""Thanks Andrew - the patch was applied to SQL module at r525019.""",Happy
"""Thanks henry and pat... we'll have to re submit all the PA's so trigger hudson.""",Happy
"""Thanks Andrew, committed in rev.""",Happy
"""Thanks for taking a look, Jiannan """,Happy
"""Sweet kickstart for our new wiki!""",Happy
"""Thanks Sijie.""",Happy
"""Thanks to both for these usability enhancements !""",Happy
"""Thanks for sweet patch Erik.""",Happy
"""Thanks Hari!""",Happy
"""Thanks a lot for the reviews, Todd.""",Happy
"""Thanks in advance Jens """,Happy
"""Thanks Andi.""",Happy
"""Thank you Brandon.""",Happy
"""Thanks, Mayank""",Happy
"""It will be great if you could confirm it either way first.""",Happy
"""Thanks for your work on this Allen!""",Happy
"""Hello George,  The fix looks fine, many thanks!""",Happy
"""Thanks Laura.""",Happy
"""Thanks Todd, glad to be on board!""",Happy
"""Thanks for your patience.""",Happy
"""Thanks Tony.""",Happy
