Text,Emotion
Don't let your anxiety and depression get over your head  Don't let it control you! You are strong! You will get over this! ✨🌷  #anxiety #Dailyquotes #DailyUpdate #YouAreNotAlone #deepthoughts #depressed,Sad
@MaggieGilewicz Maybe it's just today  but I am anything but inspired or inspiring today  #doldrums #depressed,Sad
Anyone else #depressed?,Sad
Sundays at noon on Seabird Radio and Wednesdays at 7 on @ChannelRadio1    Latest show at https://t co/lKhtzgfNdd https://t co/j9nrkurUSo #antidepressants #pinched and #depressed just #funny https://t co/GV8tHebg3W,Sad
Pouring one out for my friend Van  who just succumbed to corona  He leaves behind a daughter who didn’t deserve to lose her dad like this 😞  #depressed,Sad
When people don't understand your depression  🤣😡 #depression  #anxiety #mentalhealth #mentalillness #mentalhealthawareness #mentalhealthmatters #recovery #depressed #endthestigma #bipolar #mentalhealthexplained https://t co/d57P0uCkKb,Sad
#stoner #instahookah #depressed Patterned Round Ceramic Cigar Ashtray https://t co/LUKmLPMGXG https://t co/5bXFpyzUIz,Sad
When you’ve had a crush on someone for over 3 months and you find out they recently got a girlfriend      🤡😭  #depressed #crush #ugh,Sad
I’m not cool I’m just #depressed,Sad
A small study  I wanted to make something more emotional  I think a lot of people had that feeling of emptiness    #empty #emptiness #void #soul #hole #sketch #wip #blue #dark #depressed #black #drawing #illustration #art #artist https://t co/nAQHIwNfud,Sad
https://t co/Qlzuzs7l2s but #StayAtHome #StaySafe and fuccin #depressed (wow it rhymes a little bit),Sad
#NewProfilePic I feel un lucky  #depressed:),Sad
For some people the current situation can lead to feeling more #anxious  #depressed or #compulsive  Call ur GP  #Counselor  #Psychiatrist or someone who supports u  #mhfaindia #mhfa #MentalhealthduringCovid19 #MentalHealthMatters #mentalhealthfirstaidindia #MentalHealthRealities https://t co/3QZQTVYZre,Sad
As someone who has to self-quarantine A LOT because of illness  I have constantly gotten  Hurr durr I'd just LOVE to sit around all day doing nothing!  &amp  now I see posts about how #depressed people are and feel worthless  You still wanna trade? You got your fucking wish #COVID19,Sad
Just woke up from a dream where I met joe jonas #feeling #depressed,Sad
I am #Blessed yet feeling #depressed but still #alhamdulillah_for_everything,Sad
In 22 days I should be in Hawaii marrying the LOML  22 days away and we are having to reschedule our destination wedding for May of next year    #depressed #FUCoronaVirus #anotheryearwaiting,Sad
Sundays at noon on Seabird Radio and Wednesdays at 7 on @ChannelRadio1    Latest show at https://t co/lKhtzgxoBN https://t co/j9nrkuJwgY #antidepressants #pinched and #depressed just #funny https://t co/uIlav989ul,Sad
Thought of the Day#9  Life is too short for #overthinking things and feeling #depressed all the time  Take some time out for yourself  #SayAlhumdulillah for whatever you have  Do what you like for bringing yourself back on the track    #NoorSays,Sad
#Depressed people may have problems concentrating  remembering details or making decisions  and may contemplate  attempt or commit suicide ,Sad
I know  I’ve been absent from Twitter lately  📚  My spousal unit has been pretty #depressed &amp life is upside down  He is my world  Hugs &amp 💋  fancy home-cooked meals  &amp 🧁 can’t heal  This time  they didn’t even comfort him  😔  Waiting/hoping is torture   #lockdown,Sad
Being in #quarantine during #COVID19 can be rough  Let's talk about how we're combating feeling #lonely  and maybe we'll all laugh a bit along the way👇   https://t co/uepvfIKnlu   #Podcast #NewPodcast #Depressed #Friends https://t co/9HhutIp9nt,Sad
@LoveDisfigure Burn Survivor/Campaigner/Advocate For Disfigurement   @KPFoundation Making it easier to live with #burns/#scars  #UK charity giving rehabilitation/#support!  #depression #depressed #anxiety #anxious #selfcare #healthcare #health #mentalhealth #covid19uk #lockdownuk,Sad
If you're feeling confused  lost  anxious  #depressed  or need a tune-up or a tune in  or if you would like some clarity and #focus  or have communication issues  call me on 1-888-400-5566 or register here to set up your private one on one session now  https://t co/np0C4gcQGq https://t co/JojzMbNbBi,Sad
Magnetic stimulation found to be beneficial for depression cureLink https://t co/vAVuGEsosT #depression #anxiety #mentalhealth #mentalhealthawareness #sad #love #mentalillness #ptsd #depressed #selfcare #suicide #bipolar #selflove #recovery #stress #therapy #mentalhealthmatters https://t co/xo5YpCG32V,Sad
People with #depressed mood can feel #sad  #anxious  empty  hopeless  helpless  worthless  guilty  irritable or restless ,Sad
I've caved  1 year and 3 months sober    and I've given in  My sons mum has left me  So now I'm leaving this in my system    let's get fucked up!!! #Depressed #heartbroken #killme https://t co/iOevhLB9RS,Sad
I need for someone not to make me feel like my life is useless to not make me not feel like I dont matter  When is it going to be me? #depressed,Sad
Feeling #stressed #depressed or #anxious &amp  need to speak with someone? Contact @LACDMH Its 24/7 to call 1-800-854-7771 or Text  LA  to 741741  Please take a #screenshot of the pictures &amp  forward to anyone who needs it  Its OK 2 want 2 speak w a stranger during #StayAtHome https://t co/t7ERv5nrgv,Sad
Wish I'd have sponsors / sponsorships to make my musical dream come true  I have a lot of ideas hidden without the chance to show'em 🎶 #Music #Rafolino #Dream #Singer #Sad #DreamOfLife #Depression #Depressed #Rejected #Creative #Sponsorship #Sponsors #HiddenFeeling #BrokenHeart,Sad
