Text,Emotion
Starting to prepare for the BTS online concert  ❤️ #excited #BANGBANG2020,Surprise
I have finished #APatchworkFamily by @CathyBramley and it has to be my favourite one by Cathy  Please go buy it and please check out my review! @orionbooks 😊❤️📚  https://t co/BsHY9LOft8  #bookblogging #review #excited https://t co/pbfLJobaae,Surprise
Promotion!! Celebrations! #cantwait #Excited #proud #nhs https://t co/aJFL5BcoIy,Surprise
One step closer to becoming a private pilot!!  #excited #goals #privatepilot https://t co/fvKOlOHHjC,Surprise
#GhostAdventures night @justin_spurrier 👻 👻#excited,Surprise
Just over 2 weeks and this beauty will be releaseddddddd!!! Not counting down AT ALL! 🙊  xoxox  #stronger #newrelease #love #music #single #excited #music https://t co/wrWNYmisAU,Surprise
Finna leave the house for the first time this week #excited,Surprise
Opening new bottle of wine for #RHONY tonight! #Excited (for both)!🍷@Andy https://t co/p767EufZ1f,Surprise
#Surprise! Just launched my brand new #blog and I’m so #excited! If you love art  tutorials  freebies  and resources  this blog is for you  I can’t wait to share all the awesome #content I’ve been planning  so without further ado  here’s the first post: https://t co/FR0FotWH3d🎉 https://t co/uCOiJ3NkHN,Surprise
Time is Money the gameshow!! #tbt     When the world open back up  you should come check out all the fun for yourself!!!     #timeismoney #gameshow #games #fun #funandgames #funtimes #entertainment #money #excited… https://t co/KbbBdntCDo,Surprise
Proud to say our second baby is a GIRL! #prouddad #excited #2020baby https://t co/9bAa8Q6eRc,Surprise
Got a few things lined up for myself     #Excited #BetteringMe ☺️😏,Surprise
@JillWineBanks Yeah but we want to show his ignorance and flaws as a human- so let us make sure the woman on the ticket can destroy Pence and Trump  Every intelligent progressive wins hands down! #excited,Surprise
Hiiii!!   Getting ready for hangs!   #excited,Surprise
New Song coming tomorrow from @MuteTheTV_band - a side project I’ve started with my brother Ell - featuring Jack Joyce on vocals 🎵🎸👍 #irishmusicparty #newirishmusic #NewRelease #Spotify #excited #mutethetv https://t co/n41XV07TwE,Surprise
My little girl has chosen her challenge &amp  her charity @TeenageCancer &amp  can’t wait to get started  10 days is a long time to wait when you’re 5! 👧 💕 #Excited #TwoPointSixChallenge https://t co/LIshO6eooi https://t co/UY4hFp9ky4,Surprise
Always aim for the fence      actually past it 😏 #excited,Surprise
I've been working my ass off this easter to create music I enjoy and feel comfortable about  You can expect music dropping soon on your streaming services  I will of course link it here and promote it when it hits the air   #excited #takecare #stayhomeandmakemusic,Surprise
@SeeYouDoigy I really want to get that one  especially given its the line I grew up on! But it will have to wait until pay day unfortunately lol #Excited,Surprise
@dannellamunoz for the six week challenge are we going to be using the guides that are available on your site or will it be a different guide?!?! #excited,Surprise
Someone got some big news today! #surprised #excited #shewantsasister https://t co/ILrMJAekDk,Surprise
Families wishing to confirm their place @church_prim for Reception in September can email our school office on office@academystjames com Please  include your child’s name and your phone number  Thank you  @ruthithompson @eyfschurch #welcome #excited @WeAreBDAT,Surprise
When you discover the talk you missed 3 years ago from one of your favourite authors is available free and online :o) #excited #ThomasFreidman #essentialviewing  https://t co/zTPSEcFG8R,Surprise
@joemcelderry91 #Excited to see you  😘😘Thank You #Gorgeous ❤️❤️❤️❤️,Surprise
On This Special Quarantined Birthday Of Mine  I'm Gonna Give You All This Beautiful Gift     Releasing On 17th April   2020       #superhappy #excited #newsongalert #teamwork #releasingtoday https://t co/OVh7huz83j,Surprise
Always my energy   Artflow   Gymflow   Can’t stop that hustle #talented #excited #stillatIt😏Appreciate my clients Your energy is everything  Do what you love Love What you do   Period   Do something  productive daily that’s gonna take you closer to your goals  #IGrind4mine https://t co/xLOWToJ6P8,Surprise
MY WINNING SONG WILL BE PRESENTED TOMORROW AT THE @RecordingAcad @GRAMMYU LIVE CONFERENCE AT 2PM PST #excited #StayAtHome #QuarantineLife #dj #music #musicproducer #artist #competition #winner #art #musician https://t co/Jrr9pqT5v9,Surprise
Huh an't this some crumby timing  Interested to see what it changes though! #staysafestayjurassic #JurassicPark #JurassicWorld #starwars #spielberge #lucas #colintrevorrow #excited #universal https://t co/vcMIgsza3O,Surprise
Busy Life is shortlisted in three categories! #excited #honoured https://t co/K8DnIFpWyz,Surprise
Makeup on 💄   Ready to do my conference in Vegas virtual style 🥂  #zoomconference #virtual #vegasready #veganmakeup #instagood #instabeauty #homestyle #excited https://t co/OETaCDjRIX,Surprise
who else is excited for the Disney Channel Sing-along?!? #heckyes #disney #excited #watch #support #quarantine #chicago,Surprise
Before you get control over your responsibilities  you need clarity  Find clarity here https://t co/MxLreHHjxn #managing #excited,Surprise
@MrTalin @flytip and @jamiemyrold  in Design Community Virtual Meet-UP  #excited 😃  #design #talk #Conference https://t co/mH0uV1ewop,Surprise
✍🏼⚡️it was Just Wow!💯 Thankyou so much My ABBA Father My Prophet The sharpest Bestest teacher in the heaven of all! @UebertAngel 👏🏼 Learned so much and ready to Learn more over Thankyou in Advance Sir Hallelujah! #excited #Learning #MoreCloser #ToJesus #whataJesus #Itshappening https://t co/FOmhJOS4sh,Surprise
#currentread Invisible women by @CCriadoPerez  It’s by no means an easy read  But at a first glimpse the book is easy to read! #excited https://t co/4NF5lvDMGr,Surprise
@NationalTheatre starting! Streaming of Treasure Island on YouTube #excited https://t co/2zU9ROceFO,Surprise
Achieving a healthy work-life balance is like maintaining a good relationship  you have to keep working on it  #photooftheday #Motivation #Inspiration #Excited #passion #successquotes #hustle #entrepreneur https://t co/aqCWG5HXBB,Surprise
He’s here! johnnydepp has arrived to IG! Everyone said he’d never join social media but I kept believing he would  #johnnydeppishere #excited #hollywoodvampires https://t co/9i4aKuaw5r,Surprise
We are thrilled to announce that effective March 1st  Fall River Employee Benefits joined Alera Group  the nation’s 11th largest privately held employee benefits firm  This is a big step for us  and we are extremely excited!   https://t co/86QyXYfvJt #fallriverbenefits #excited https://t co/UjmI1aN43d,Surprise
@damekellyholmes Your running tunes are perfect 👌🏼 #virtualrun #excited #wannaberunner #runwithanolympian #lovekelly #damekellyholmes #running #lockdown #happyrunner 😉☺️,Surprise
When you can’t wait for the album to come out because no one understands how CRAZYYYY its going to be 🤣💞 YALLL we are just one day away!!! 😭 IM HYPE #KierraSheard #Kierra #NewAlbum #Grateful #Excited https://t co/DzEvHlsATB,Surprise
New songs coming soon! #Excited #Recording,Surprise
Ugh     when the chaos is heavy    and the #FedEx guy drops your #boxycharm!! #NotAllHeroesWearCapes #reallife #momlife #sparkuliemrs #StayAtHome #COVID19 @boxycharm #elemis #illuminati #hankandhenry #benefitcosmetics #lavish #excited https://t co/55EP6X3sLj,Surprise
#picoftheday these babies are on their way!!! Supposed to arrive in May    #yay #excited #logitech G935 https://t co/1AtSLkveTY click that #follow button to stay #uptodate and show me some #love if you #like what you see https://t co/5nkWWeynT9,Surprise
My momma ordered me a Lange brush straightener &amp  some products for Mother’s Day 🐕 #Excited #Lange,Surprise
I just got all these masks and I am excited to try them all  What do you do to keep your skin healthy?🥰  @GirlsfromS20 #masks #treatyourself #relax #skincare #healthy #excited #thursdayvibes #ThursdayMotivation #Lancome #stayhealthy #lifestyle https://t co/iEDouTXzLp,Surprise
Great to be here for the #TwitterSmarter chat today with  @MadalynSklar Dog is at my feet also wanting to participate    She doesn't like being told no  #excited #Woof,Surprise
Super excited for the #TwitterSmarter chat today with @MadalynSklar! I just got my coffee and will be all hyped up on caffeine 🤪🤪   @Starbucks you are my favorite!   #excited #TwitterSmarter https://t co/K8hRl5vyv2,Surprise
Rocky View County's (RVC) electoral boundaries have entered the #public #engagement phase  An online survey has launched at https://t co/xwnSQoMbuN and will be available until April 29  #ISL is #excited to help continue to deliver this project for RVC https://t co/5eWafCtGDs,Surprise
