Text,Emotion
@csy_kmh They’re all so adorable and what for 😤😤 I just wanna adopt each one,Anger
#TBT drdre / snoopdogg -  Nuttin But A G Thang  😤 @ Olney  Philadelphia https://t co/89X9ZHFDgN,Anger
yawaa don't wanna be drug dependent again just so i can sleep 😤,Anger
@HeyItsLane_SL The fucking struggle 😤,Anger
@UntoldUmar I wouldve SMACKED her ass if she had said Wawa was trash 😤,Anger
Right in our faces    !! 😤🤬😡💣 🔨 https://t co/n27zmpivr0,Anger
Time to be independent in more ways than one! 😤😤! 🔊🔊 🎼🔌 #thursday        #thursdaythoughts #audioengineer #audio #soundcloud #hiphop #soundcloudrapper #spotifyplaylist #applemusic #rapper #soundengineer… https://t co/UbT0MOvEYq,Anger
@BeautyMarkDot We say it properly  The world says it wrong and no one can tell me otherwise 😤,Anger
@breerunway I can’t play it too much or my mom thinks I’m angry 😤😔,Anger
@crossingrosie Gladys should have ignored him 😤,Anger
@AnarchistAuthor Mine isn't mutually exclusive from yours 😤😤,Anger
@NappyHeaddd Let’s Goooooo😤‼️,Anger
Sigh* nothing reliving my worst race ever watched  😤 https://t co/AIZgKJjldz,Anger
@OllyOxx I fucking love it!! Also preachhhh 😤,Anger
Warzone didn’t count one of my wins 😤 #FakeNews,Anger
Saturday me please 😤 I’m off this fro shit 😒,Anger
I swear I’ll clean the house &amp  within 2 hours it’s a damn mess again😤,Anger
A legend! 😤 https://t co/j1o1BKDKoa,Anger
If y’all see me tweet that billionaire mind your business 😤😤,Anger
@jjeongjun @pledis_17 Pretty 😤💞💕💓,Anger
@joonieveerse ur cute or whatever 😤💜,Anger
You don’t think of me when you eat animal crackers??????? 😤 https://t co/4CAFm9SpKX,Anger
@suhail_abramia @mohish2003 🙂Hosh my owe You know what to do son 😤☠️,Anger
Cannot wait 😤 https://t co/5MStyySd70,Anger
@lindsayheldreth @the_lamp_person Don't test us 😤 https://t co/4sYWisALVn,Anger
@zorotheist Ksjdhfhsgfj true where are they hiding ??? The last week clowning will never be forgotten 💀😤😤,Anger
I really hate when someone is sleeping on my bed  I low key want to drag you by the leg down to the floor  so annoying😤😤 ,Anger
Stan NCT😤,Anger
#DrOzAppetizingOpportunity 🤯😵😤😤😤😄🤬 in this time of quarantine- we are learning EXACTLY how expendable we are🤬🤬🤯 @MuellerSheWrote @sarahkendzior @TheDailyShow @StephenAtHome @StephMillerShow @fromthebunkerjr @bobcesca_go @frangeladuo @AliVelshi https://t co/8eDxDq4YTJ,Anger
@vxxhxmx Scenes from sailor moon 😤💕,Anger
Ong dude 😤 https://t co/i0WpX8kGKD,Anger
@NIUCoachHammock Patrick Flowers got serious game tho😤😤😤😤,Anger
@chapstick_papi Something about quarantine makes me think you should DO IT 😤,Anger
Playoffs was supposed to start Saturday 😒😤!,Anger
@TforTwala Dawg lol I have soo many questions  😂😂😤😤,Anger
@ivynsage why did you get a fun one 😤😤,Anger
I wish my instructor had sent the email on how to properly format our assignment BEFORE i turned it in 😤 at least she said i did a good job still,Anger
@iceninjette she’s younger than me so she better not do it 😠😠😤,Anger
*exhales heavily* 😤😤😤😤 https://t co/TQhlLDJTxO,Anger
These lot are gonna start clapping again 😤,Anger
@lilyachty @YouTube This is what will get me through this corona outbreak ive been bumping since the release😤,Anger
