Text,Emotion
I'm #amazed at all the #wonderful #fundraising people are doing for our #keyworkers but I'm #furious at the #UKGovernment for not #properly #Funding our #NHS in the first place  #Covid_19 does not discriminate or favour people  #notmypm #Disgraceful #disappointed,Anger
@IcelandFoods @NHSuk  @piersmorgan really #icelandfoods ???? Way to make us feel supported!!!! Dont worry  i wont bring my  contagious business  to your door!!!! #furious and #discusting #attitude https://t co/21cFS2TOdz https://t co/5XBD6KLSPV https://t co/SlJaFGB2jO,Anger
@BeckaGeee @Jonathan_Case_ Wow that was tough  I panicked when it wouldn’t accept Narcissa Malfoy (I see my mistake now) and no Craig B Jr is rude  BUT I WILL NOT TOLERATE ANY QUIZ THAT DOES NOT ACCEPT ASTORIA GREENGRASS  #furious #justiceforastoria #andcraig 🐍🐍🐍,Anger
Being #furious ##CoronavirusPandemic #45 #WHO https://t co/q6HiYbvYOp,Anger
@TuTall @IrvineWelsh I recall the #Hitman broke his hand in that opening round #war watched that on World of Sport i think #furious #epic,Anger
don't lose to corona!waiting for the day when the world is full of smiles  Frame:  hglrc freestyle Motor:  SkyDRONE®︎ SkyR DIABLO  2207 5-2050kv   #SkyRDIABLO #TEAMSkyDRONE #FUKADEN #hglrc #tmotor #gemfanhobby #rushfpv #Tattu  #foxeer #furious https://t co/TdL9cN4KC6,Anger
Aside from being high I was PISSED at what they were doing to that poor sheep  #Furious #WTF https://t co/ZuOF1dWPQz,Anger
@RoryBurnside And according to the “Law” I’m not allowed to go and see her     #furious,Anger
Not Too #Fast and Definitely Never Too #Furious https://t co/u1Ao36Lwem #Fast #Furious,Anger
The UK #Health #Secretary has offered #Care #Workers a “#Badge of #Honor” that may get them perks similar to NHS staff amid the pandemic  The move got staggeringly negative reception – and the #Badge turned out to be not exact     #Furious #News https://t co/dUoXO1z8Wf,Anger
@mattdrudge Good morning America !      #Lockdowns anti-constitutional? #Furious crowds protest quarantine in Michigan            #ANOTHER_MONTH: DC extends stay-at-home order through May 15     New Age of Digital Surveillance   ,Anger
I wanted this to be me with my friends on my birthday in july but nooooo there’s a pandemic 😡 #furious #stupid https://t co/NIUTo4c074,Anger
The furious glory  #Thunder #Lighting #Sky #Wilderness #Furious #Glory  https://t co/1VLxY5QIVG,Anger
