Text,Emotion
@ThePastryFork @Tim_Burgess @MGStephenson Very true 😄,Happy
watching little women 😄,Happy
also it was so nice to see @Jaeandthemoose ! 😄,Happy
@BandB_CBS Wish they had played it with the no rush sound track   it would of been 🔥😄 but nevertheless the ladies looked great   ,Happy
@karlgrieshop Does that mean we get to keep you on Canada? 😄,Happy
@AVisserFuray Thank you 😄,Happy
@Ch0c0merry Thanks 😄💙,Happy
@ramblin_intelct  Ya lungs crystallized  😄😄,Happy
@RyanJShaw94 @Dinalli @MBrundleF1 I know!! Mad isn't it? 😄,Happy
@william_onono @NimoSheikh2 @ItsMutai @DrAlfredMutua Have never been a puppet of baba  And never shall I be  Leadership require sense  boldness and care for the citizens   Mutua has given me all these 😄😄😄😄 #TeamKutendaBilaKuwika,Happy
@BellaLyra @Saramina1980 @ReelLifeMoose @rheingoldspn 😄 He doesn't share well  😉,Happy
Had my first hype train today 😄 was a pleasant little addition to today have to say,Happy
@LMfudge @MissCEntwistle @Kahlo_BPS Nice one! You have the posh version! 😄,Happy
@SimonLandmine I am 99% certain that the internet would provide 101 opinions in the best and worse things to do all of which would end up in the same buckets… crunches can be so hard though sometimes 😄,Happy
@justineelouie @bbrightvc @winmetawin @Allbrightvc @BrightvcPH @BrightWinPhil @WinmetawinO @winmetawin_ph @BrightWin_IDFC @2GetherSeries @mybrightmyheart Same feeling now i cant sleep properly again 😂 coz its Friday 😅😉😍 it means no time to sleep for me 😉😄,Happy
@CommonManKFAN GO BROWNS ! GIVE US ODELL ! yes ! ⚽️☔️😎😸😄😅😆🏒🥅😡💥🌹😂🤣😮😐🦊🌲 https://t co/t4EEUuCSxN,Happy
@walfat @BodeThomas_ 😄😄😄😄 I am kuku heeding to the advice  Soonest sir  a ma kan si yin with the details by God's  grace  Trust you're keeping up well and safe this period  God's protection on us all ,Happy
My birthday is in 2 days😄,Happy
@UgwunnaEjikem @thic_didi Check your dm na😀😀😄😀😄😄😄😀😄😀,Happy
@CarlyJA22 @Mackaveli8 @AthanKatsos @Djangomydog @lmakowski3 @patckat @phaynesharris @jkf3500 @ann_neona @doxie53 @pleasure74 @ReSista_Barb @strom_annette @small1ldy1 @OzenRhoda @VonnieCalland @gggg45466 @GulliAz @PuffDomino @Fired_Soon @elder_jodi @HarleyDad731 @4a_of @RicArner @BetsyGervasi @beachaholic823 @bamableu @Samiknowsbest1 @ivyjofreeman @zelda229 @eddsmitty @clairermassey @JoKeRDJResists @Limmered @fenrir_71 @NY_runaway @kayranmon @PetraMcCarron2 @KathleenKatfox @HalmMary @DyanePalonis @RonLebow @CarmenSisRice @xtraferocity @dkmzkt322 @TimbosRoses1 @DDD_101_ @BriansNewHeart @IBiteFiercely Oh my!! 😄😄😄😄😷,Happy
@KTTunstallNinja @KTTunstall Wow  You know you've made it when there are some fake Twitter accounts out there on your behalf👏😄,Happy
@clazzyclare Epenesa is a man mountain at 6ft 5in just the kind BB likes just wish we’d got a second round pick to address TE if the OJ Howard stories aren’t true 😄,Happy
@sarahh_lainee @peachjjuicee @usurpss You’re welcome! 😄,Happy
@donna_riccaa  buddy happy birthday day enjoy your day at home doing nothing 🎊🎉😄🎂😘🎁,Happy
@TuwangaCarter Index finger  Slowly slowly 😄😄,Happy
