Text,Emotion
@__Kekedoll 😭😭😭😭girl what,Sad
I would’ve commented  “bitch go to hell!” 😭 https://t co/pY0NW5a76F,Sad
WHAT 😭 https://t co/U78zfpGbiM,Sad
Oh yeah  why don't you marry me ? 😭❤,Sad
@Hunie_Bun I'm the one who has an idea of who it is?? I don't!!! That's why im asking 😭,Sad
@craveephat LA seafood or crawfish time! I still don’t know 😭,Sad
@iheartscout I’m slowly dying because I need that Moon Puzzle back in stock!!! 💔🥺😭,Sad
I FINALLY found me a plug for cartridges 🥺😭,Sad
I’m crying 😭 https://t co/Di2gbBDTMc,Sad
@AtConflicted @mojeikpeme Aw nooo it def will be patient 😭,Sad
@heartinanarchy love this for u 😭💘,Sad
@jonginsbear You sound like a cute posh english woman when you speak english I love it so much 😭😭😭,Sad
I can’t wait to get my hair cut Idk nobody 😭😭😭,Sad
Jason playing slanders new potions mix 😭😭💜,Sad
that smooch sound and the smile on tharn's face  he's taken aback bcs his tsundere boyfriend gives him a peck 😭😭😭😭😭 https://t co/pQUGetrw1j,Sad
@weschamplin @Waiters4Three @STEEZO_THE_GOD No cap like who tf he think he is 😂😭😭,Sad
@voodoopussynea Not the cheat code the game😩😭,Sad
i hoped to finish this today but I'm getting lazy and i really don't want this to look lazy after all the work I've put into this drawing 😭 so hopefully tomorrow,Sad
My face because as soon as I leave my toxic relationship to go and get my life right and get back on track    the world wanna get to ENDING and shit 😑 😒 LET ME BE GREAT!! 😭 #letmebegreat damn it!!!!! https://t co/lwKOQaTAza,Sad
@PicsArtStudio Oh my wow 😭 @nctzenstruggle,Sad
OMGGGG YESSSS!!😭😭 https://t co/yRpYtu0uyG,Sad
@p3paopao AAAAAAAAAAAAAAAAAAA 😭😭😭😭😭😭😭😭😭 being able to see so many futures and ill fates is the burden he has to carry and hunter eli            couldn’t take it              mercykiller             ough 🥺🥺🥺,Sad
Just saw someone write  your mother has always been a beak-in of light   😭😭😭,Sad
i made it to the 2nd round of @LilNasX $10 000 scholarship and this 320 word essay is consuming every little bit of me 😭😭,Sad
@yassslgz @kevxzerr Grave 😭,Sad
@wlwtrekkie I thought this said oilphobic and I was like ??? Well ok yeah fuck the oil industry I suppose 😭😭😭,Sad
@RapAllStars The Hood Godfather fr 😂😅😭🤣,Sad
@thereal_arzee Yho!!!! Joey Lloyd and I would go crazy for this song 😭🔥  Ahhhh the memories,Sad
Hooray! Look what arrived today! So excited to watch this tonight!!! Tonny!!! 😍😭❤️🥃 https://t co/uFLJJtI22g,Sad
Parasite is a solid 10/10 now I see why it won oscars 😭😭,Sad
@The_Arsty @bananasamzyy @crossingchannel I don't speak to her 😭 she just won't leave my damn place  will keep trying though!,Sad
@iniiorchiiddd HUMOR WEH😭,Sad
@loveeemarii I just laughed sooooo hard fuck 😭😭😭😭,Sad
Lmao I set up a nice old picnic for my fam and I  went inside to get ready and as I come back out I see that the gardener picked it up!!!😅 thank you sir??😭🤦🏻‍♀️,Sad
I just wish I could master twisting my hair cos it looks so pretty 😭 I’ve tried and I cannot for the life of me do it,Sad
😭😭😭😭 Whewwwww I do not miss that https://t co/ksggdQz60L,Sad
@spikezV3 Barca genuinely the only team looking good next season 😂😭,Sad
@queenDamz @Sonjoe_Kutuh @Binn_joe Can’t imagine 😭🤣🤣🤣,Sad
@porrovkook @BTS_twt fire - for you 😭,Sad
@ot9_ot7 thank u 😭,Sad
@tayybrenae GTFOOO😭😂😂😂😂😂,Sad
@Diathesnob idk how to put it but they’re so boring yet so interesting at the same time   i can’t explain it😭    this chat is kinda flat but I’m intrigued and wish the video was longer 😭 idk   anyway i luv them ! Ima need another live,Sad
@roseyeunancy GIRL I MISSED YOU TOOOO 😭 the only thing that made me feel better is that i remembered you said you'll take a break so i won't miss a lot of your tweets,Sad
I managed all of this except those weird push ups what even were those 😭 https://t co/LY6GBTXjBi,Sad
@kpophappenings_ tw//nsfr  food  oh no 😭😭 https://t co/Oh3lIVuF8Q,Sad
@Wahiba574 Trop tard 😭,Sad
me and my man would’ve been in LA 😭 today,Sad
@seydatweets @Bearded_RN I knowwwwww 😭😭🤢🤢,Sad
@batrogue5 @bbg__ray he finna drop he be with memo nem😭,Sad
@areyoubima @rlthingy Dont slap me😭,Sad
Pickles 😭🤢🤢🤢 https://t co/jCEc19ekkH,Sad
@tumza_45 He’s a comedian  On god 😭,Sad
@melissasee This is so sweet 😭😭😭,Sad
@emmet_ok 😭😭😭💀 actually tho,Sad
Niwrongo shame 😭,Sad
Washa is a hit!!!! By any means a ke sa bolela 😭🔥 @emteethehustla_ Avery yona!! YERRRR this guy 🙏🏾 https://t co/A4DO6RNqoy,Sad
@PVA_Chris @DrippyGreenwood He really isn’t simping??? Are you okay 😭😭😭,Sad
@TSURGl HER SHOES😢😢😢😢😢😢😢😢😢😭😭😭❤️❤️❤️🚶🏻‍♂️🚶🏻‍♂️🚶🏻‍♂️😢😢😢😢😢😢😿😿,Sad
when you can hear the alarms go off when the captain of estonia calls for mayday 😭😭,Sad
@fIeurjaehyun 😭😭😭 LITERALLY a whole mess,Sad
You a damn drug   you’re toxic 😭☺️,Sad
@24roadman Read this in lasisi's voice negl 😭😭😭😭💀,Sad
@quwrf DEZZ 🥺🥺🥺🥺🥺 i love u 😭😭😭,Sad
@mediobentro Sir Matt Busby Toty 😭,Sad
not something convinced i’m an admin on an update account 😭😭,Sad
@kookiecrumbs23 @cultjeons Istfg 😭😭 i thought an army edited this whoever edited that shit should be fired 😭,Sad
@MELROSE_X0 Periodddddd 😭 ! They fuckin extended this shit till the end of May in Wisconsin 😪  ,Sad
@ACNHplant @KoholintIsland 💗I need to join you in animal crossing 😭,Sad
Okay I sort of miss baseball a little bit  😕⚾️😭  Best Of Tom Hamilton READ DESCRIPTION https://t co/Vsa71xckIY via @YouTube,Sad
I wonder whats the point of this 😭😭😭 kangta does a lot of stupid/nonsense shits without any reasons   Omg i miss him 😭🥺,Sad
Cassper is giving me a headache NO WAYS 😭,Sad
@AllRiseSilver Missyou😭😭😭,Sad
@faguette98 i’m crying 😭😭😭,Sad
I want hibachi I want hibachi 😭😭😭,Sad
@p4vvluh i saw the tweet and yes  yes  i have been 😭,Sad
@joongtreats And then the thing Is when you find it or get it you never remember having  seeing  or eating the cookies  You wanted some cookies at your grandmas house and the tin just appeared and had stuff in it 😭😂😂,Sad
@incohyuckie I DID WNXKKR😭,Sad
This set has the most BDE I’ve ever seen 😭 this is so fucking good https://t co/lND6TnGC2i,Sad
If there’s no #baseball being played this year  I best not see any #football  #soccer  #hockey or any other sport being played this year either  DAMMIT    I just want my baseball back! 😭,Sad
