Text,Emotion
@Delta why are you refusing to give people refunds when the event got cancelled?! And why are your employees so rude?!!!!  #pissed #fuckdelta,Anger
How the fuck am I supposed to get ahold of unemployment when their online system is down AND they phone line is busy literally all hours of the day #pissed,Anger
#ClapForCarers #clapforNHS done  👏🏻👏🏻👏🏻 Now lets get #pissed 😂💜 https://t co/Qu8cuK5JtL,Anger
@dbongino I'm sad no more  #pissed The 2020 election is a GAME to #democrats   Bait &amp  switch coming &amp  dem voters don't care who blue candidate is  It's about winning power  not what the candidate will do for Americans   Dems/Biden just using each other  #PlaceholderJoe,Anger
@kamillebrick Crazy how before this started there were thousands of used treadmills for sale becsuse they took up space or were used to hang clothes  Now everyone is using them   Should have bought one in January   #pissed,Anger
this fucking game man fire shotgun jumping pricks sorry had to be said  #pissed,Anger
My dog was $4000  IDGAF who you are  if my dog gets hurt so will your bitch ass animal you got off the dirty ass streets    idc  #PISSED,Anger
@Avie_Bunny @AudreyRantau After this MCO he sure dead coz he was like look at this 👇🏻 #pissed https://t co/jkTV4uFDdz,Anger
@ajsgmajc yup  my only response that twitter won't ban me for is 🤬  #pissed #RememberInNovember,Anger
Fuckin IRS sent my stimulus check to the wrong account  #pissed,Anger
@GovPritzker You urge us to file for unemployment online   We try  we're told to call   We call  we're hung up on by the automated system  I've been in this loop-hole for a month   You closed my business down I have no income   How are you going to fix this for my family #pissed,Anger
Me - where the fuck is my energy drink? I’m starting to get #pissed I’m dragging ass   @HunterKnox65 - dragging ass? You don’t look like it   Did he just complement me  or does he think I look like a tweaker? 🤔,Anger
@Chase IRS website shows our stimulus check has deposited but our account shows nothing  Called customer service &amp  got nowhere  Every site says its deposited  even YOUR site says all checks have been posted    someone is lying! stop giving us the run around #pissed #stimuluscheck,Anger
@IRSnews Hopefully things didn’t change in your life between the time you filed and now  There is no way to change your banking info or address  If you eventually do get your money it’s going to be less  #pissed,Anger
I left my damn baby wipes in my other hotel last night😡🤬 #pissed,Anger
@OfficialOSGFNG @DigiCommsNG You are not practicing what you are preaching! Can't 1 or 2 members of the PTF do this without media coverage? This is irresponsible!!!!! Practice what you preach  Stop putting lives at risk #Pissed,Anger
Twitter Family   I was in Twitter jail last week  I feel totally sidelined  😠 I'm afraid to fully express my rage at 45s destruction of this democracy because they'll permanently end my account  #pissed  #Resistance,Anger
Wtf @WWE what’s up with all these releases smh #BS #pissed #messedup,Anger
I don’t understand why Kayla and Karter has to bother me when I’m playing FIFA I don’t bother them when they are playing their games   UGHHHH! #pissed,Anger
I went to 3 Fucking stores looking for wonton wraps and couldn’t find them  #pissed,Anger
Finally got to be with my family this Easter week was so excited to watch #maskedsingerfox with them and see who goes home and it's a repeat #pissed 😠😠😠,Anger
This season has been to fucking long  I forgot Drew Carey and Tony Hawk were even on it  And then we get this fake ass unnecessary episode prolonging it where not one person gets unmasked?? #pissed #TheMaskedSinger,Anger
Wait a damn minute     STUDIO ART ??????? I am #pissed !!😠😠😠,Anger
😭😡 I got a huge fish up to the bank and it broke my line!! #fishing #pissed https://t co/BK55J6AQST,Anger
@BravesChatter @MaskedSingerFOX I agree  Something I look forward too and it was taken from us! #pissed #maskedsingerfox,Anger
@kmoore0801 Oh updated and no cinnamon butter for the rolls  #pissed,Anger
@sonicdrivein yo what the fuck y’all discontinued the Frito chili cheese wrap #pissed,Anger
Always the Democrats instead of his sorry ass administration  #TrumpPressConf #TrumpPressConference #CNN #MSNBC #Pissed https://t co/9cIj4YipfZ,Anger
Damn same   #pissed https://t co/Y4Ipme3mzP,Anger
How are you gonna be a @lyft driver and you can’t follow directions/GPS 🙄 like wtf thanks lot I guess I’ll be waking home #Pissed,Anger
@FedEx Sucks!!!!  Tennessee is on fucking lock down!! If you’re not working you’re at home! PBP! So how the hell did y’all miss me?  I have 2 dogs  so I can assure you  no one knocked  The driver just put the note on the door and left  #pissed 🤬🤬🤬 https://t co/wdbJ70KXzR,Anger
Does anyone else have unified bank? And are they having problems logging into their account??? Bc I can’t get on !!! #pissed,Anger
Honestly? I would rather these people NOT wear PPE than do this! Stop it!! You’re doubling down on an already unbearable task dealing with this virus  Be all the way smart! Not half assed! You know who you are!! #pissed 😡 https://t co/q5OrpXRkSI,Anger
#pissed cause i didnt get the 1200,Anger
I tried twice to order from doordash today  And both times I received absolutely NO FOOD!!! 🤧 done ordering from #doordash #pissed,Anger
Nothing pisses me off more than unpeeled shrimp #shimp #pissed,Anger
@Jason_9905 @IRSnews Guess its to hard to look at a tax return and get the information right  Smh  &amp &amp  who's idea was it to just let the #IRS shut off ALL communications!! Aren't they essential?? At this point more essential than a grocery worker!! #PISSED,Anger
When your hotel cancels your reservation but then you get a confirmation email from @Orbitz but they won’t let you speak to an actual agent   yeah  today’s turning out to be just peachy  #Pissed 🙃🙃🙃🙃🙃,Anger
Check out michigan #fedup and #pissed off  @realDonaldTrump,Anger
@GovSisolak @DETRJobConnect @ttyler72 Myself amongst many others have been trying for weeks to get in contact with someone with Deter and the unemployment office  Your system fails day in and day out  WE ARE TUNNING OUT OF MONEY!!  This is unacceptable  I have literally called over 400 times this morning  #pissed,Anger
I’m about sick and tired of this BS towards @slinksowavy! 🤬 By no means should this EVER be brought up about ANYONES family member! Whoever sent this  PLEASE DO DM ME!🤬 #pissed https://t co/unyTTrZXll,Anger
@IRSnews @IRS @turbotax It has my last 4 as my bank account and doesn't give me the option to update that info  So I'm waiting on a paper check now? Offices are closed  Nobody is answering on Twitter  #pissed https://t co/SB5A1WFsTn,Anger
So college students don’t get stimulus checks? Even though your parents aren’t getting a check for kids over 17  So we get nothing  Our government is “great”  students get punished for getting a education  But we still pay tuition and cant work  #USA #ThanksForNothing #pissed,Anger
UNMH is now giving their employees one mask to wear all week long 👍 way to go  Thanks for protecting your employees  #pissed,Anger
It should NOT take TWO freaking days for my game to update #pissed #fallout76wastelanders,Anger
@BigAlTweeting is having a lovely birthday #Pissed https://t co/Asw3hWhySg,Anger
@andrewl1234 No you are not  #pissed,Anger
drop the ball  Or is it you don't share intel with our President  The IRS  FBI  NSA  DNI  somehow I feel all weaponized against our President  Sorry  your ho choice did not get in  You need to remember you work for America not a political party  #Pissed,Anger
Y’all bitches sholl know what to say  #pissed,Anger
My “friend” got the music video of one of my favorite songs in the world removed from the Internet  So #pissed,Anger
My younger cousins are so lucky they’re all either the same age or 1 year apart im #pissed,Anger
I haven’t hung out w @karlyyy182 in a month #pissed  I miss my bff :(,Anger
@pizzahut @pizzahut  gave me a pizza literally with no bottom dough  And forgot my ranch  Then hung up on me after making me sit on hold for ten minutes  #pissed  https://t co/kavuytoQuj,Anger
Jtown is apparently a high risk area with car insurance  My rate went up $45/month  #pissed,Anger
Update: I wasted my damn superlike on James and we didn’t match #Pissed https://t co/1QQByG82G9,Anger
Reason #52971653894923331 to make sure your vote counts for someone who is not an egotistical dumbass #pissed https://t co/2bs88H6Npf,Anger
Have you ever been so angry that you couldn't eat? Yea    me neither 🤪🤪🤪 #pissed https://t co/yaYhFbUHSd,Anger
WHY ISNT LEA GOING LIVE #pissed,Anger
Nothing like buying a @Sprite and having the bottle be literally impossible to open  #Pissed,Anger
#I #get #pissed #of #when #people #think I am a #child based off of my #pfp,Anger
I had a dream last night that I was playing Animal Crossing on my Switch    then I woke up and found out that I don’t even have a Switch #pissed,Anger
@SIRIUSXM why are you the ONLY subscription based service that I have to physically call to cancel my service  instead of canceling it online   is it so you can charge me for 3 extra months after I’ve closed my account?? #pissed,Anger
@realDonaldTrump This governor is overstepping his boundaries and Kentuckians are getting #PISSED  It is time to #REOPEN our State!!!! https://t co/rzONBlO3EB,Anger
They out here calling Malcolm Jenkins racist    Every time a Black man speaks out about providing solutions for the Black community   the sentiment:   You better shut your Black ass up and play football! #pissed,Anger
Wow I got invited to a zoom party tonight and I don’t even have a haircut #pissed 💀🤣,Anger
@WokeAnimal @ThatEricAlper 2006-7 he got me in to the concerts   Amazing seats  9th row? I lost his phone number but I can get ahold of him if I wanted  It's pointless though  I missed the last concert  I've seen him perform 11 times? Most everyone else sucks  I didn't get to see the last concert  #pissed,Anger
if we don’t get pride month I’m gonna be #pissed,Anger
Alex Morgan BIG pregnant and it's NOT MINE #pissed,Anger
This lockdown is for the birds  Alot of talent I wanna work with and I can't right now   #pissed  #NJlockdown,Anger
I would start lay off the week it gets cold 🙄 #pissed,Anger
I find myself feeding my emotions alot rather than feeding my actual hunger - - #pissed,Anger
So mad that this fallout update is 58 GB   not gonna be able to okay till tomorrow at the rate my download is going #pissed,Anger
We were supposed to be leaving for our Girls Trip tomorrow 🥴 #Pissed,Anger
My vacation is dead ass canceled 😒 #PISSED,Anger
There was one caramel roll left that I had planned to bring to work for breakfast today and fricken David ate it last night  Mf'er doesnt even like them   #MorningRuined #Pissed,Anger
There goes the fking ipl  #pissed,Anger
@CNN @StCollinson @BillClinton was put on trial committing no crime at all   Trump should be listed as a registered sex offender according to Megan's Law with NUMEROUS offenses and Legit criminal charges that us  Regulars  could face a minimum sentence of 25 to Life! What did I miss? 💯 #pissed,Anger
#wow #goosebumps I wish all #governments #worldwide would have read my #tweets b4 the #outbreak in #europe n #america  Im so #pissed off  #china we r comin 4 u #motherfuckers u wont get away with this  N #international #policymakers embrace urself 4 #national #inquirybythefire,Anger
@Rosi3Rosay Yeah until i found out he was married 😫🙄😖  #pissed #crushed #likeWtfblood  I felt this,Anger
On todays episode of “can i fucking find a nintendo switch!!!” I STILL 2 WEEKS LATER CAN NOT FIND  A NINTENDO FUCKING SWITCH #PISSED #Nintendo #switch #AnimalCrossing,Anger
#pissed Tired of this bullshit  https://t co/9Z1hkMaKtH,Anger
