Text,Emotion
i hate everything  except you 💝💖❤💓💘💗,Happy
To one of the most wonderful person of mine  I wish you a very happy birthday  I always feel so blessed that you are one of the biggest gift that ever happened in my life  I cherish every moment loving you  Saint  Your birthday is definitely special❤ #22ndSaintStillBeYourBoy https://t co/IzKsKjVgM2,Happy
So guys I got good news   I got Cod Bo2 back sooo   Stay tuned for bo2 videos  stay save out there 🤙🏼💯❤,Happy
Happy birthday  my baby 🐰❤#Saint22ndBeGrownUp https://t co/QtCmdi9ZPs,Happy
GOODMORNING SAYO❤❤ @iversnts ❤❤,Happy
@gcfskiss @nadacomnada03 @BTS_twt SO PERFECT ❤❤ https://t co/x7veDd5fMn,Happy
 Baby you will always be my one and only !!❤💕,Happy
@mrslithium_ I love u 😔❤,Happy
@queenisthirsty ❤ hope youre okay 😍,Happy
@tburages Thanks to everyone for the laughs! ❤🙏,Happy
I rarely get to be thirsty on main but if this asshole used my face as a trampoline i'd rest in peace ❤ https://t co/lIPmBNCNrR,Happy
@jisungdotco U too sara ❤,Happy
@ITZYofficial Happy Birthday to our girlcrush Ryujin  I hope u just continue what do u want cuz its perfect to us  MIDZIES LOVE U❤😍🎂🍰🎊🎉 #HappyRyujinDay  #ITZY https://t co/CJVTtDiH2z,Happy
@calxvalntyne @MiniLaddd Aww ❤ goals all around,Happy
Seeing who gets dressed for class first &gt &gt &gt &gt  😭❤,Happy
@DrArbeelaAKhan W salam &amp  ameen🌷❤🌹,Happy
Happy 38th birhday Lee Joon Gi😍❤ #HappyJoongiDay  #HappyJoongiDay0417 https://t co/TqNxIAQlMF,Happy
@jimmy_jimmoi Can you give a shoutout to your fans here in the Philippines? ❤🇵🇭🇵🇭🇵🇭,Happy
Detail of the cast-iron grave cover of Hannah Thomas (d 1855) • Capel Mynyddbach ❤  #Wales #History https://t co/cbKGFvg81d,Happy
women are people ❤ https://t co/hTvZbhEwlb,Happy
@ExoCharts9 @weareoneEXO Love you ❤ @ExoCharts9 and @weareone  thanks for protecting jongdaee   protect exo is obligation for exol 👊,Happy
@_xxketsoxx Thank you 🔥❤,Happy
Me and my friend😊 my 6 years of friendship and still counting👊 I love you forever💙❤ Happy birthday🎉🎊 https://t co/lGKnCCeET2,Happy
@PlrdPrincess Tweeeeeet tweet 🐥🐤🐥 Welcome ❤❤ https://t co/5nEGcFkQ18,Happy
@leelee_ranz It wasn't so abundant for me  but I hope you all had amazing blessings today! ❤,Happy
thats adorableeeee❤❤❤❤ https://t co/sjR4F5wBth,Happy
It's National Pajama Day and our HUSKIES loved working in their pajamas! Way to show that #HuskyPride  💙❤💙 #WeAreDville #HastingsES https://t co/g4lRQRbHTH,Happy
@lisakaysen you're so precious to me and i love you so much baby  you deserve the whole world ❤,Happy
@YsabelleNina Awwwwwwwww I love you 😍😍😍❤💕,Happy
@Breaking_Nate dude your video on the #BreakingNate channel is so relatable  You don't realize the older you get that you parents are getting older as well  My parents are divorced and friends now as well  Nice to hear I am not alone with my parents  I love helping them! 🌹❤,Happy
Whatever is worth doing is worth doingwell  ❤#22ndSaintStillBeYourBoy,Happy
Its 2020 and I'm on a zoom chat with the gals listening to Lawson's new single  This is fab ❤,Happy
Want $5 off your SkipTheDishes order? Order through this link ❤💚https://t co/YVSbuE3Iyl 😍#Skipthedishes #couponcodes,Happy
Being lame ass injured guys together ❤  #hobgoblins #wesuck #mamasboy #Duzen #StayAtHomeDogMom https://t co/V584r9N4X6,Happy
Look at my grandbaby    😂😂😂 She somethin else!    (*lol*) Love me some her❤ https://t co/eeP4vfE8Vy,Happy
@NAMJOONPlC absolutely agree ❤,Happy
amazing seeing @KylieJenner a lot more active this season! ❤💃 #KUWTK,Happy
Goodmorning babies!!!!❤,Happy
I'm crying 🥺❤ https://t co/8Kc2tCbgeb,Happy
Received mine from @smartypantsco  the other day and I'm absolutely in love  they are such high quality  comfortable  and super CUTEEEEEE ❤❤❤ thank you so much @Chlolmaoo if you haven't checked out her shop already please do ❤❤❤ https://t co/foAAMGsJcX https://t co/33KwBsgnSf,Happy
@pulte I'd give $600 to my mom back home in the Us ❤❤,Happy
@ItakeYourHand @Ex_Muslimm @IAmANullCeature @chavilom @supermomh @ex_promeizer @QD9jiRbi8Ddbir @Celia1300L @nana_khanoum @IAmOcelotI @sleepdealerr @Miirzaa4 @Sooresrafill @Nimpel_2 @ForEveryBdy @RaghseParvaz @0PrinceMyshkinO Yeah ❤❤😍😍😍😍 no wonder we love each other girl joonam 😘😘,Happy
@estrudel_dulce @95wildflower Never ❤,Happy
@With1DNews SOOO HOT🥺❤,Happy
Good morning  Flyers! 😊❤🙏  @maymayentrata07  @Barber_Edward_   #MayWard  #MaymayEntrata  #EdwardBarber,Happy
@chiliofroses Dnd anjo ❤,Happy
 I ❤ sneakers    My life in three words https://t co/axIe7WmzmW,Happy
@iyanism loveeeeee this uw 😍❤,Happy
@KhyleHeizel dito lang me always for u veshhhh 🤗 can't wait to see u all after ecq😊  Love youuuu always❤😘  (ganda mo sa white tube🤭😉),Happy
Goodmorninggg!❤,Happy
@cristinafoxtv I WOULD LOVE SOME OF YOUR MILK PLEASE!!!❤❤❤ 😋😋😋 YOU ARE SOOO INCREDIBLY F***ING GORGEOUS AND SOOO INCREDIBLY SEXY!!!😍😍😍❤❤❤🔥🔥🔥❤❤❤😍😍😍❤❤❤,Happy
@lzglzg3 Ily too ❤,Happy
I'm one of ur fans who so so prouuddd haviing youuu CHANYEOLLAAA😢😢😟💜❤❤❤❤ YOU DID GREAT JOB AT YOUR NNG MUSIC VIDEO I LOVE PARK CHANYEOLLL HWAAA😣😣 https://t co/pBxWS4atZF,Happy
@Arkhosualizzy @Kwaajo_Anim You pretty❤🙄,Happy
Should I go for something  lighter  next? Blacklist sounds 🔥🔥🔥 so     Hmmm      Should I go for  Secret Seven  instead? Captain  Tay and Gun are all in there  My heart would be soooo full! ❤,Happy
@hoyasmiIes @ccelestialmoon oh they are couple now? thats so cute😩❤ okay so maybe i gonna watch the movies then,Happy
And you know what?? Blessed are those who make people feel blessed❤,Happy
 Call of prayers    AZAAN❤❤❤❤❤❤❤,Happy
@emteethehustla_ I Love you bro❤💯,Happy
@MsSarahPaulson Only if you post puppy pics😍💃❤🙏! Breed?,Happy
@strwbrryangel1 Cause you're the prettiest most sweetest girl ever and you deserve it ❤❤,Happy
@berrycheezz Have a nice day kak fyy❤❤,Happy
@sweethea7t Very pretty  LIKE VERY PRETTY  super fun tweets  Hope u have a nice night  never stop being yourself❤,Happy
@KELLYROWLAND Lelly the guest is you  ❤,Happy
I dunno but I'm so lucky with my friends  I swear  i'm going to support them with whatever they want to do and be a shoulder they can cry on ❤ https://t co/DL8Yfxk8Vx,Happy
@Dirisueshiokhe Thanks ❤,Happy
Loveee this ❤ sis you've outdone yourself https://t co/6uhPmZEq3C,Happy
If you were waiting for Lights Out to be complete  I posted the last chapter today ❤  https://t co/vrBRIrp3HQ,Happy
@SenTomCotton @SKYRIDER4538 🇺🇸❤🇻🇳  Leading our people  our native land  out of misery and suffering Let us join our efforts in the fight for the building of a new life    - Vietnamese national anthem,Happy
Some people succeed because they aredestined to  but most people succeed because they are determined to! ❤#22ndSaintStillBeYourBoy,Happy
Chloe Burbank  Volume 1 ❤,Happy
Hello I wanna give him the world🥺❤ https://t co/wLwOa5cSZ5,Happy
@maCharlez Nwoke oma ❤,Happy
@allkpop Woah awesome    may he get more popularity🤞❤😘😘😘😘,Happy
@MrTeddyTedster I needed this today! Thank you❤❤❤,Happy
@crupiiii i want u to visit :(( 🇨🇦🇳🇱❤❤ i love u,Happy
Happy birthday baby 🎂🎂🎂🎂🎂🎉🎉🎉🎉Love you❤❤❤❤ You're the best👍👍👍👍 #22ndSaintStillBeYourBoy https://t co/qsqepPbREP,Happy
@emadhashhash2 Very good English ya emad😂❤ honey ya moody❤❤ ,Happy
goodmorning 🙏❤,Happy
@alaaxteskz Have a nice day vee❤❤,Happy
both of them make my heart warm 😭❤ https://t co/wj3N6dv5q4,Happy
@faithlehans I love you ahhh thank you ❤😘,Happy
A thread to read  Riva❤ https://t co/X20BH8E563,Happy
@lcarusfallss @PablooPriotti ❤ con amors,Happy
@pulte Some of it Bill   Gotta pass or forward ❤,Happy
@janamccormick01 @TheRaveStop Im new to twitter and would love some edm friends on here 😭❤,Happy
I love photography💛💜❤  https://t co/fhzjNRcesL,Happy
@rania_bahnassy Gorgeous 🔥🔥🔥❤,Happy
Midnight gains  Retweet drop your handle and Follow everyone who likes ❤❤❤❤,Happy
I fell in looooove with this song in Montpellier !!!! LOVE THE 👏👏👏👏 PART ❤❤❤❤ @picturethis https://t co/NPgWCmUC1k,Happy
@giveunchi HAPPY BIRTHDAY KA JURAA ❤❤❤,Happy
my bebeh ❤ #TTV9 https://t co/Aq5OlzBxzf,Happy
Good morning ❤,Happy
Watch Maymay on @_MagandangBuhay  now! ❤  #MayWard #MaymayEntrata #EdwardBarber   @maymayentrata07 @Barber_Edward_ https://t co/DwiwDHc9NY,Happy
@Sementinha_cv Tmj menor bom 💪❤,Happy
@bbrightertvc Have a nice day ara ❤,Happy
@wonubeloved @pledis_17 PRETTY! ❤,Happy
#ThankYouFink for the memories 😞🙏🏽❤ #WWEHOF #WWE https://t co/btqYlKOzDF,Happy
@itslachristine thank youu!!  huhu loveyoutoo😩❤❤,Happy
@pulte Family friends and people I have not yet to meet ❤,Happy
@radiodisney @dixiedamelio @ImMegDonnelly @MiloManheim @sarahjeffery @ravensymone @torikelly @charlidamelio @xtina @auliicravalho @MsAmberPRiley I drew @dixiedamelio 😍I hope you like it❤Tag her @dixiedamelio https://t co/eMNJ5F6wr1,Happy
@Maldito_Mao You make me feel like dancin' ❤✨,Happy
