Text,Emotion
@ryanstruyk 34% hate anything anti-trump more than anything he will ever do  #sad,Sad
just got kicked from a dolan twins gc feeling #Sad #lonely,Sad
If you know anything bout me u know I love cringe content on the internet/tv   But that video of the don pretending to be a wolf has broke my cringe bone    I feel like when cartman seen something so funny he couldn’t laugh anymore #sad,Sad
This makes me so #angry and #sad https://t co/m0md1BmUy6,Sad
Really? Tommy Boy is what we’re going with as reference film for Brian Dennehy? #sad on many levels ,Sad
@KingJosiah54 That's what wrong with our young black men  Pitiful and ignorant #sad,Sad
@NunyaBi70753057 Agreed  #Sad,Sad
@PressSec @realDonaldTrump Lie big or go home   ? Looks like the tradition continues from one @PressSec to the next  #sad,Sad
@BarnettforAZ Swing-and-a-miss scooter  Want to compare facts?  If you're on the Trump train - the presumptive answer is  No    So your slur of willful ignorance  knowing NOTHING if me  is pure trump-projection   You're RUNNING for something? #sad,Sad
Relatable   #sad #sadmeme #funny #meme #sadboy,Sad
@realDonaldTrump Pelosi trying to rewrite history #Sad MAGA Trump2020 KAG🇺🇸🇺🇸🇺🇸,Sad
These ladies at my job 🙄 #Sad,Sad
@KraigtheBunny @kidbrewer @FiestyKiwi @Janesmi74403686 @WarrenJPierce @natehansen42 @ADevotedYogi @hsbanik @sacmac11 @Jah18186004 @_White__Rabbit @Heather012177 @COCrowe @mannazesq @Gummbyman32 @forcemultipler @HerpesMichael @nzhippygirl @SGijora @AdHomin1711 @ShaktiForTrump @WhoFeedsYou @JDavidBourne1 @rygh_sherrie @iflysims70 @kruttika108 @RkyMtnPatriot @G2Precision @LisaSwartz8 @thedjrichyb @mpo619 @3ifbyTweet @Jetson77 @madhatter632 @JimDody @MaryMarch3 @RaevenNZ @jim_beau_va @KevinArdery @DaveCrockett20 @ArgosIsA_DOUCHE @Marrie69054223 @JonPowers777 @DeepInTheHills @pureunfoldment1 @Okibutt @FootrotDog @rpayne1956 @TheOneEnigma Btw here is one of MANY examples of Schizo Richo lashing out at people  Rick Wilson seems to be a fave target of his  Sorry bud  looks like you didn’t delete enough posts  #sad #SchizoRicho https://t co/C1nmCOn7Bd,Sad
Made my Trader Joe’s dried chile spiced mango last a whole 6 days #quarantine #rationing #babysteps #nomoresnacks #sad,Sad
Sad news regarding a wonderfully talented vocal artist   Rest in peace  Keiji Fujiwara  https://t co/rvpyJIwPGo  #sad #keijifujiwara #finalfantasy7remake #voiceactor,Sad
