Text,Emotion
Is it me  or in the last couple of days  does @realDonaldTrump look truly exhausted and sound kind of stuffy? #worried i wish @VP Pence would do more of the speaking   🙏🏼,Fear
Just ate a store bought deviled egg and I could feel the moment it hit my stomach    😰 #worried,Fear
Whether SOTH had a clip on her profile or NOT    she went into Chinatown as a PR stunt during a pandemic and looking back  was pretty stupid move   she is 3rd in line to the President #worried  #WhoisQ  #ImpeachPelosi,Fear
What are you mostly frustrated about everday? Maybe I can help  If not  at least you can vent it out  I’ll listen  DM me  Seriously  You are not alone  Blessings! https://t co/i0x0MDKPWQ #Frustrated #Worried #Stuck #Trying #TheStruggleIsReal #GetItOut #Hope #Overcome,Fear
About COVID and trump #USAVirus #worried #uglytrue https://t co/OqPew6wXI1,Fear
@sainsburys As someone in the vulnerable group I have completed the https://t co/RVW7JHBpkI form  Can you tell me how I can get a priority slot for home delivery? #isolation #worried,Fear
@Tesco As someone in the vulnerable group I have completed the https://t co/RVW7JHBpkI form  Can you tell me how I can get a priority slot for home delivery? #isolation #worried,Fear
Here's a quick sketch today  what do y'all think? 🌼    #art #artist #instaart #sketch #sketching  #sketchbook #pencilsketch #mechanicalpencil #graphitedrawing #girl #shorthair #pixie #pixiecuts #earrings #roundeyes #cute #worried https://t co/DuyW3Ebfub,Fear
@DannyJohnJules Saw this and him on @GMB didn't answer a single question  My 3yr old had a teary moment this morning telling me the nasty bug is scaring him  (that's what we call covid 19) what am I ment to do  We all need answers  When will we get them?? #worried,Fear
I'm currently feeling #Worried ,Fear
@TheView Americans are you #listening it’s abt the #WEALTHY NOT Americans Lives    These #GREEDY CAUCASIANS are #worried abt their #Wealth made off the MASSES back   The want Americans 2 #die for their #bottom line  That is how #bold they are about what matters to them  #WakeUp,Fear
Seriously isolation is playing bad on my mental health   stressing over bills  food  heating!! Honestly can’t cope anymore!! My little girl deserves better 😭😭 feel like I’ve failed coz I can’t even provide for her 😢😭😭😭 #Isolation #cantcope #worried #moneyproblems,Fear
Am I beauty? #YoungWomen #Portrait #BeautifulWoman #Beauty #Females #Women #BeautifulPeople #Grief #Worried    https://t co/EwLeTrz2oJ,Fear
Readers NB I'm not slamming #NHS services  because I have experienced good work in practice - I'm 70+ with issues since @PHSOmbudsman &amp  @BSMHFT lied  colluded  covered-up son's death 11 years ago #Distressed #Worried,Fear
@santanderukhelp How long do you take to respond to emails? #worried,Fear
@BrezhMalaba Is she at least wearing a mask? Even at 85% recovery rate she might cross infect some vulnerable people  As a mother of a severely disabled child I am concerned &amp  worried by some statements on this chat  Do people out there realise that HIV also infected innocent people? #worried,Fear
@MissBTurner Peoples thoughts on     IF schools were to return sooner rather than later  Surely PE would have to be scrapped? No way (especially in primary) can you be certain children will follow social distancing rules? #PrimaryPEshare #worried #pesspa,Fear
My son is locking himself in his room all day with a bunch of tissues and the new game he bought  Me and his mother are worried about him #worried,Fear
I'm currently feeling #Worried ,Fear
@kathmandupost @journoprithvi No doubt that Nepalese citizens will benefit but  what about massive corruption braided in the system! Can we aspect transparency ? #worried #corruption #transparency,Fear
another day of not doing my disso omg #scared #worried,Fear
How much can @realDonaldTrump take as OUR #President? Spying on his campaign by ILLEGAL #FISAWarrants  Attempts to #SABOTAGE his Presidency from WITHIN by TOP #FBI/#CIA/#DOJ  TAKEDOWN thru #impeachment by madcap #LIARS in Congress to #WorldPandemic &amp  #EconomicCollapse! #worried🙏,Fear
US #Worried #About #Activity at #China #Nuclear Test Site https://t co/kyPyb18oB4 https://t co/OjRbXpOOfm,Fear
Activities for #Angry  #Worried Kids https://t co/ywEeBgMRBn https://t co/97JN1A3b2H,Fear
So anyone else in OH realize its thundering and like snowing at the same time    bitch the apocalypse is hereeee #worried,Fear
Absolutely agree  I'm so proud of all the @BrigitteTrust #volunteers who are providing invaluable emotional support by phone to people in #surrey in particular those who are #shielding #ExtremelyVulnerable #lonely #isolated #bereaved #worried i'll be #clapping for them tomorrow https://t co/wLnf87zLfY,Fear
If you are not a #Threat to #Satan  He is not #Worried About You ,Fear
https://t co/Ik24QNVE7H  Great read #blogpost #COVID19 #scared #worried #coronavirus #mentalhealth https://t co/bXs0jXfLPn,Fear
At least my life is comfy enough  But I am still full of worries because I know that I am not an island  Nobody is  #nooneisanisland #covid_19 #coronavirus #pandemic #comfy #worries #worried @ Sunland-Tujunga  Los… https://t co/XOb6aK4vYZ,Fear
What are you mostly frustrated about everday? Maybe I can help  If not  at least you can vent it out  I’ll listen  DM me  Seriously  You are not alone  Blessings! https://t co/i0x0MDKPWQ #Frustrated #Worried #Stuck #Trying #TheStruggleIsReal #GetItOut #Hope #Overcome,Fear
Sadly  a resident where my relative works  died yesterday  They were asked to go and open up the flat for the emergency services  Police and ambulance staff all arrived wearing full #PPE  The staff have only been given gloves  #Worried,Fear
https://t co/Ik24QNVE7H   New blog about my personal worries to do with the coronavirus #mentalhealth #bekind #bekindalways #blogger #blog #COVID19 #scared #worried #coronavirus,Fear
Incase anyone's interested  I've just written a blog post 'Managing #lockdown Tip #2' https://t co/nHPpSD3F1M  Breathing tricks when you're feeling #overwhelmed/#stressed/#worried   Subscribe (it's free) if you want to read more  #blog #mentalhealth #Covid19UK #calm #breathe #ok,Fear
What For U is For U through #ChristJesus  Why are U #Worried?,Fear
Serious times!! Legit my heart is broken  #worried,Fear
Just wondering if anyone has seen or heard from @JennaBoydUK hubby since the #hotcrossbuns incident ? #worried #notoutofthebag,Fear
Had to rush my son to hospital this morning for excruciating pain from a kidney stone  Had to leave him there  That was so difficult for me to do  Waiting to hear when to rescue him  #worried,Fear
Today is the tomorrow we #worried about yesterday ,Fear
I'm currently feeling #Worried ,Fear
What's the scam? #🤔 #whatishappening #whatisthescam #whatsup #wondering #interesting #plan #whatisyourplan #whatareyouplanning #twitter #worrying #worried #anxious #lifegoeson #English #teachingenglish #language #teachersofenglish #yds #els #toefl #ielts #ingilizce #dil #learn,Fear
What is happening at Private Hospitals?? #worried   #Covid19inSA,Fear
Mumbai drenched 😓 #covid19 #mumbai #worried #CMUddhavThackeray #PMOfIndia,Fear
Haven’t done school work in a week  #worried,Fear
Was woken up about an hour ago by voices outside my house and someone tapping the glass on my fron door  I’m just back up the stairs after checking and the letterbox has been tampered with  Help 4am Twitter - I’m a bit freaked out #help #freakedout #cantsleep #worried,Fear
Can’t sleep  got so much going round in my head at the moment   #stressed #worried #carehomeworker #keyworker #COVID19,Fear
Wow! This Is Bad    @SmithfieldFoods Headquartered here in #KansasCity #Missouri   @QuintonLucasKC @GovParsonMO  Do You See An Issue With This?   Is this a sign of Bad Times to come?  -#Economy  -#Food -#Jobs -#Safety -Crime Rising?  #Worried #Kc I know a few of their Execs  🤔 https://t co/C1ILCsMaLG,Fear
@RuggedyBaba @jidesanwoolu @NCDCgov @segalink No doubt Nigeria is a broken country sitting on a keg of gun powder  #worried,Fear
Today is the tomorrow we #worried about yesterday ,Fear
@KatyTurNBC My landlord is already asking  I've already emptied my account with whatever i have for rent and owe about $200 which i dont have  #ANXIETY #WORRIED #SCARED,Fear
Is a pain in the right side always from the liver? Asking for a friend  #worried,Fear
